2020/04/10 01:42:45 UTC
Bangladesh,330,,21 ,,33,276,1,2,0.1,"6,175",37,Asia
Mauritius,314,,7 ,,23,284,3,247,6,"6,730","5,292",Africa
Nigeria,288,,7 ,,51,230,2,1,0.03,"5,000",24,Africa
Kyrgyzstan,280,,4 ,,35,241,5,43,0.6,"9,618","1,474",Asia
Bolivia,268,+4,19 ,+1,2,247,3,23,2,591,51,South America
Palestine,263,,1 ,,44,218,,52,0.2,"16,068","3,150",Asia
Vietnam,255,, ,,128,127,8,3,,"114,241","1,174",Asia
Montenegro,252,,2 ,,4,246,7,401,3,"2,329","3,708",Europe
Senegal,250,,2 ,,123,125,1,15,0.1,,,Africa
Georgia,218,,3 ,,51,164,6,55,0.8,"3,271",820,Asia
Guinea,194,, ,,11,183,,15,,,,Africa
Sri Lanka,190,,7 ,,49,134,5,9,0.3,"3,248",152,Asia
Isle of Man,190,,1 ,,92,97,12,"2,234",12,"1,879","22,097",Europe
Kenya,184,,7 ,,12,165,2,3,0.1,"5,278",98,Africa
Mayotte,184,,2 ,,26,156,4,674,7,"1,100","4,032",Africa
Faeroe Islands,184,, ,,136,48,,"3,766",,"5,299","108,446",Europe
DRC,180,,18 ,,9,153,,2,0.2,,,Africa
Venezuela,171,,9 ,,84,78,6,6,0.3,"139,282","4,898",South America
Martinique,154,,6 ,,50,98,19,410,16,,,North America
Guadeloupe,143,,8 ,,67,68,13,357,20,,,North America
Djibouti,140,,1 ,,28,111,,142,1,"3,399","3,440",Africa
Brunei ,135,,1 ,,92,42,3,309,2,"8,985","20,538",Asia
Paraguay,129,+5,6 ,+1,18,105,1,18,0.8,"2,262",317,South America
Guatemala,126,+31,3 ,,17,106,3,7,0.2,"1,134",63,North America
Gibraltar,123,, ,,60,63,1,"3,651",,"1,511","44,849",Europe
Cambodia,119,, ,,62,57,1,7,,"5,768",345,Asia
Rwanda,113,, ,,7,106,,9,,806,62,Africa
Trinidad and Tobago,109,,8 ,,1,100,,78,6,987,705,North America
El Salvador,103,,6 ,,14,83,3,16,0.9,,,North America
Madagascar,93,, ,,11,82,1,3,,,,Africa
Monaco,84,,1 ,,5,78,4,"2,141",25,,,Europe
French Guiana,83,, ,,43,40,1,278,,,,South America
Aruba,82,, ,,20,62,,768,,"1,008","9,441",North America
Liechtenstein,78,,1 ,,55,22,,"2,046",26,900,"23,605",Europe
Mali,74,,7 ,,22,45,,4,0.3,,,Africa
Togo,73,,3 ,,24,46,,9,0.4,"1,747",211,Africa
Barbados,66,,3 ,,11,52,4,230,10,694,"2,415",North America
Jamaica,63,,4 ,,12,47,,21,1,907,306,North America
Congo,60,,5 ,,5,50,,11,0.9,,,Africa
Ethiopia,56,,2 ,,4,50,2,0.5,0.02,"2,790",24,Africa
Uganda,53,, ,,,53,,1,,"3,310",72,Africa
French Polynesia,51,, ,,,51,,182,,744,"2,649",Australia/Oceania
Bermuda,48,,4 ,,25,19,2,771,64,354,"5,684",North America
Cayman Islands,45,,1 ,,6,38,,685,15,479,"7,288",North America
Macao,45,, ,,10,35,1,69,,,,Asia
Gabon,44,,1 ,,1,42,,20,0.4,,,Africa
Sint Maarten,43,,6 ,,1,36,2,"1,003",140,112,"2,612",North America
Bahamas,41,,8 ,,5,28,1,104,20,,,North America
Zambia,39,,1 ,,24,14,1,2,0.05,"1,239",67,Africa
Guyana,37,,6 ,,8,23,4,47,8,145,184,South America
Guinea-Bissau,36,, ,,,36,,18,,"1,500",762,Africa
Eritrea,33,, ,,,33,,9,,,,Africa
Saint Martin,32,,2 ,,7,23,6,828,52,,,North America
Liberia,31,,4 ,,3,24,,6,0.8,,,Africa
Haiti,30,,2 ,,,28,,3,0.2,257,23,North America
Myanmar,27,+4,3  ,,2,22,,0.5,0.06,"1,246",23,Asia
Benin,26,,1 ,,5,20,,2,0.08,,,Africa
Tanzania,25,,1 ,,5,19,,0.4,0.02,,,Africa
Libya,24,,1 ,,8,15,,3,0.1,492,72,Africa
Angola,19,,2 ,,2,15,,0.6,0.06,,,Africa
Antigua and Barbuda,19,,2 ,,,17,1,194,20,40,408,North America
Syria,19,,2 ,,4,13,,1,0.1,,,Asia
Maldives,19,, ,,13,6,,35,,,,Asia
Equatorial Guinea,18,, ,,3,15,,13,,854,609,Africa
New Caledonia,18,, ,,1,17,,63,,"2,320","8,126",Australia/Oceania
Mozambique,17,, ,,1,16,,0.5,,483,15,Africa
Dominica,16,+1, ,,5,11,,222,,309,"4,293",North America
Laos,16,, ,,,16,,2,,903,124,Asia
Mongolia,16,, ,,4,12,,5,,,,Asia
Namibia,16,, ,,3,13,,6,,362,142,Africa
Sudan,15,,2 ,,2,11,,0.3,0.05,,,Africa
Fiji,15,, ,,,15,,17,,,,Australia/Oceania
Curaçao,14,,1 ,,7,6,,85,6,,,North America
Saint Lucia,14,, ,,1,13,,76,,,,North America
Botswana,13,,1 ,,,12,,6,0.4,"1,154",491,Africa
Somalia,12,,1 ,,1,10,,0.8,0.06,,,Africa
Grenada,12,, ,,,12,2,107,,45,400,North America
St. Vincent Grenadines,12,, ,,1,11,,108,,56,505,North America
Eswatini,12,, ,,7,5,,10,,,,Africa
Zimbabwe,11,,3 ,,,8,,0.7,0.2,371,25,Africa
Chad,11,, ,,2,9,,0.7,,,,Africa
Greenland,11,, ,,11,0,,194,,770,"13,564",North America
Saint Kitts and Nevis,11,, ,,,11,,207,,183,"3,440",North America
Seychelles,11,, ,,,11,,112,,,,Africa
Suriname,10,,1 ,,4,5,,17,2,,,South America
MS Zaandam,9,,2 ,,,7,,,,,,
Belize,9,,1 ,,,8,1,23,3,364,915,North America
Nepal,9,, ,,1,8,,0.3,,"2,895",99,Asia
Montserrat,9,, ,,,9,1,"1,803",,36,"7,212",North America
Malawi,8,,1 ,,,7,1,0.4,0.05,,,Africa
Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576",North America
CAR,8,, ,,,8,,2,,,,Africa
Vatican City,8,, ,,2,6,,"9,988",,,,Europe
Cabo Verde,7,,1 ,,1,5,,13,2,,,Africa
Mauritania,7,,1 ,,2,4,,2,0.2,258,55,Africa
Nicaragua,7,,1 ,,,6,,1,0.2,,,North America
Sierra Leone,7,, ,,,7,,0.9,,,,Africa
St. Barth,6,, ,,1,5,,607,,,,North America
Bhutan,5,, ,,2,3,,6,,"1,166","1,511",Asia
Falkland Islands,5,, ,,1,4,,"1,437",,137,"39,368",South America
Gambia,4,,1 ,,2,1,,2,0.4,,,Africa
Sao Tome and Principe,4,, ,,,4,,18,,19,87,Africa
Western Sahara,4,, ,,,4,,7,,,,Africa
Anguilla,3,, ,,,3,,200,,,,North America
British Virgin Islands,3,, ,,,3,,99,,,,North America
Burundi,3,, ,,,3,,0.3,,,,Africa
South Sudan,3,, ,,,3,,0.3,,,,Africa
Caribbean Netherlands,2,, ,,,2,,76,,10,381,North America
Papua New Guinea,2,, ,,,2,,0.2,,72,8,Australia/Oceania
Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America
Timor-Leste,1,, ,,,1,,0.8,,,,Asia
China,"81,907",+42,"3,336 ",+1,"77,455","1,116",144,57,2,,,Asia
Total:,"1,603,719",+435,"95,722",+29,"356,655","1,151,342","49,127",205.7,12.3,,,All
