2020/03/24 04:02:43 UTC
Hong Kong,387,,4                                ,,102,281,4,52,0.5
Croatia,382,,1                                ,,5,376,6,93,0.2
Colombia,378,,3                                ,,6,369,,7,0.06
Estonia,369,, ,,7,362,4,278,
Mexico,367,,4                                ,,4,359,1,3,0.03
Lebanon,318,,4                                ,,8,306,4,47,0.6
Iraq,316,,27                                ,,75,214,,8,0.7
Dominican Republic,312,,6                                ,,3,303,,29,0.6
Serbia,303,,3                                ,,15,285,21,35,0.3
Algeria,264,,19                                ,,24,221,,6,0.4
Armenia,249,, ,,14,235,6,84,
UAE,248,,2                                ,,45,201,2,25,0.2
Bulgaria,218,,3                                ,,3,212,8,31,0.4
Taiwan,216,,2                                ,,29,185,,9,0.08
Lithuania,209,,2                                ,,1,206,1,77,0.7
New Zealand,205,, ,,22,183,,43,
Slovakia,204,, ,,7,197,2,37,
Latvia,197,, ,,1,196,,104,
Kuwait,191,, ,,39,152,5,45,
Uruguay,189,, ,,,189,3,54,
San Marino,187,,21                                ,,4,162,12,"5,511",619
Hungary,187,,9                                ,,21,157,6,19,0.9
Costa Rica,177,,2                                ,,2,173,4,35,0.4
Morocco,170,,5                                ,,6,159,1,5,0.1
Bosnia and Herzegovina,168,,3                                ,,2,163,1,51,0.9
Andorra,164,,1                                ,,1,162,7,"2,123",13
Jordan,154,, ,,1,153,,15,
North Macedonia,148,,2                                ,,1,145,1,71,1.0
Vietnam,134,, ,,17,117,3,1,
Moldova,125,,1                                ,,2,122,10,31,0.2
Cyprus,124,,3                                ,,3,118,3,103,2
Albania,123,,5                                ,,10,108,2,43,2
Faeroe Islands,122,, ,,33,89,,"2,497",
Burkina Faso,114,,4                                ,,7,103,,5,0.2
Tunisia,114,,4                                ,,1,109,11,10,0.3
Malta,110,, ,,2,108,1,249,
Brunei ,104,, ,,2,102,2,238,
Ukraine,102,,3                                ,,1,98,,2,0.07
Sri Lanka,102,, ,,2,100,2,5,
Réunion,94,, ,,1,93,,105,
Cambodia,91,, ,,4,87,1,5,
Venezuela,91,+7, ,,15,76,2,3,
Azerbaijan,87,,1                                ,,10,76,6,9,0.10
Senegal,86,, ,,8,78,,5,
Oman,84,, ,,17,67,,16,
Belarus,81,, ,,22,59,,9,
Afghanistan,74,,1                                ,,1,72,,2,0.03
Guadeloupe,73,,1                                ,,,72,4,182,2
Ivory Coast,73,, ,,2,71,,3,
Kazakhstan,72,, ,,,72,,4,
Georgia,70,, ,,9,61,1,18,
Cameroon,66,,1                                ,,2,63,,2,0.04
Palestine,60,, ,,16,44,,12,
Martinique,57,,1                                ,,,56,7,152,3
Trinidad and Tobago,57,, ,,,57,,41,
Ghana,53,,2                                ,,,51,,2,0.06
Liechtenstein,51,, ,,,51,,"1,338",
Uzbekistan,50,, ,,,50,,1,
Cuba,48,,1                                ,,1,46,2,4,0.09
Montenegro,47,,1                                ,,,46,,75,2
DRC,45,,2                                ,,,43,,0.5,0.02
Nigeria,44,,1                                ,,2,41,,0.2,0.00
Mauritius,42,,2                                ,,,40,1,33,2
Kyrgyzstan,42,, ,,,42,,6,
Rwanda,40,, ,,,40,,3,
Bangladesh,39,,4                                ,,5,30,,0.2,0.02
Puerto Rico,39,,2                                ,,1,36,,14,0.7
Paraguay,37,+10,3                                ,+1,,34,1,5,0.4
Channel Islands,36,, ,,,36,,207,
Honduras,36,+6, ,,,36,,4,
Mayotte,36,, ,,,36,,132,
Guam,32,,1                                ,,,31,,190,6
Bolivia,32,+3, ,,,32,,3,
Macao,29,, ,,10,19,,45,
Jamaica,25,+4,1                                ,,2,22,,8,0.3
French Polynesia,25,, ,,,25,,89,
Kenya,25,, ,,,25,,0.5,
Monaco,23,, ,,1,22,,586,
French Guiana,23,, ,,6,17,,77,
Isle of Man,23,, ,,,23,,270,
Guatemala,21,,1                                ,,,20,,1,0.06
Togo,20,, ,,1,19,,2,
Barbados,18,, ,,,18,,63,
Aruba,17,, ,,1,16,,159,
Madagascar,17,, ,,,17,,0.6,
U.S. Virgin Islands,17,, ,,,17,,163,
Gibraltar,15,, ,,5,10,,445,
Maldives,13,, ,,5,8,,24,
Ethiopia,12,, ,,,12,,0.1,
Tanzania,12,, ,,,12,,0.2,
Mongolia,10,, ,,,10,,3,
New Caledonia,10,, ,,,10,,35,
Equatorial Guinea,9,, ,,,9,,6,
Uganda,9,, ,,,9,,0.2,
Saint Martin,8,, ,,,8,,207,
Dominica,7,, ,,,7,,97,
Haiti,7,, ,,,7,,0.6,
Namibia,7,, ,,2,5,,3,
Seychelles,7,, ,,,7,,71,
Suriname,7,, ,,,7,,12,
Cayman Islands,6,,1                                ,,,5,,91,15
Curaçao,6,,1                                ,,,5,,37,6
Gabon,6,,1                                ,,,5,,3,0.4
Benin,6,, ,,,6,,0.5,
Bermuda,6,, ,,,6,,96,
Guyana,5,,1                                ,,,4,,6,1
Bahamas,5,, ,,1,4,,13,
El Salvador,5,, ,,,5,,0.8,
Greenland,5,, ,,2,3,,88,
Congo,4,, ,,,4,,0.7,
Fiji,4,, ,,,4,,4,
Guinea,4,, ,,,4,,0.3,
Vatican City,4,, ,,,4,,"4,994",
Eswatini,4,, ,,,4,,3,
Cabo Verde,3,,1                                ,,,2,,5,2
Gambia,3,,1                                ,,,2,,1,0.4
Sudan,3,,1                                ,,,2,,0.07,0.02
Zimbabwe,3,,1                                ,,,2,,0.2,0.07
Angola,3,, ,,,3,,0.09,
Antigua and Barbuda,3,, ,,,3,,31,
CAR,3,, ,,,3,,0.6,
Chad,3,, ,,,3,,0.2,
Djibouti,3,, ,,,3,,3,
Liberia,3,, ,,,3,,0.6,
Mozambique,3,, ,,,3,,0.10,
Myanmar,3,, ,,,3,,0.06,
Niger,3,, ,,,3,,0.1,
St. Barth,3,, ,,,3,,304,
Saint Lucia,3,, ,,,3,,16,
Zambia,3,, ,,,3,,0.2,
Nepal,2,, ,,1,1,,0.07,
Bhutan,2,, ,,,2,,3,
Laos,2,, ,,,2,,0.3,
Mauritania,2,, ,,,2,,0.4,
Nicaragua,2,, ,,,2,,0.3,
Sint Maarten,2,, ,,,2,,47,
Belize,1,, ,,,1,,3,
Eritrea,1,, ,,,1,,0.3,
Grenada,1,, ,,,1,,9,
Libya,1,, ,,,1,,0.1,
Montserrat,1,, ,,,1,,200,
Papua New Guinea,1,, ,,,1,,0.1,
St. Vincent Grenadines,1,, ,,,1,,9,
Somalia,1,, ,,,1,,0.06,
Syria,1,, ,,,1,,0.06,
Timor-Leste,1,, ,,,1,,0.8,
Turks and Caicos,1,, ,,,1,,26,
Total:,"422,829",247,"18,907",16,"109,102","294,820","13,095",54.2,2.4
