pomber(GitHub) country name,worldmeters country name,iso3
Niger,Niger,NER
Nigeria,Nigeria,NGA
North Macedonia,North Macedonia,MKD
Norway,Norway,NOR
Oman,Oman,OMN
Pakistan,Pakistan,PAK
Panama,Panama,PAN
Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines,Philippines,PHL
Poland,Poland,POL
Portugal,Portugal,PRT
Qatar,Qatar,QAT
Romania,Romania,ROU
Russia,Russia,RUS
Rwanda,Rwanda,RWA
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA
Saint Lucia,Saint Lucia,LCA
Saint Vincent and the Grenadines,St. Vincent Grenadines,VCT
San Marino,San Marino,SMR
Sao Tome and Principe,Sao Tome and Principe,STP
Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,SEN
Serbia,Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,SGP
Slovakia,Slovakia,SVK
Slovenia,Slovenia,SVN
Somalia,Somalia,SOM
South Africa,South Africa,ZAF
South Sudan,South Sudan,SSD
Spain,Spain,ESP
Sri Lanka,Sri Lanka,LKA
Sudan,Sudan,SDN
Suriname,Suriname,SUR
Sweden,Sweden,SWE
Switzerland,Switzerland,CHE
Syria,Syria,SYR
Taiwan*,Taiwan,TWN
Tajikistan,Tajikistan,TJK
Tanzania,Tanzania,TZA
Thailand,Thailand,THA
Timor-Leste,Timor-Leste,TLS
Togo,Togo,TGO
Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
US,USA,USA
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates,UAE,ARE
United Kingdom,UK,GBR
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Venezuela,Venezuela,VEN
Vietnam,Vietnam,VNM
West Bank and Gaza,West Bank and Gaza,PSE
Western Sahara,Western Sahara,ESH
Yemen,Yemen,YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE
